financials.Country,financials.Discount Band,financials.Product,Sum(financials. Sales),Sum(financials.Profit),Sum(financials.Units Sold)
United States of America,High,Amarilla,1389351.7049999998,87879.70499999999,17362.5
United States of America,High,Carretera,733882.4199999999,8684.419999999995,12147.5
United States of America,High,Montana,1280259.7899999998,167069.79,12398.5
United States of America,High,Paseo,2002018.145,231943.64499999996,17386.5
United States of America,High,Velo,2683116.5,93974.5,14658
United States of America,High,VTT,3052297.72,276774.72000000003,18244
United States of America,Low,Amarilla,57517.32,32480.32,3896
United States of America,Low,Carretera,195163.59000000003,60263.590000000004,6938
United States of America,Low,Montana,1551472.77,253076.77000000002,8170
United States of America,Low,Paseo,3199430.3549999995,596478.3550000001,24457
United States of America,Low,Velo,143747.85,36772.85,4430
United States of America,Low,VTT,1126072.25,167932.25,4186
United States of America,Medium,Amarilla,1323894.38,226059.38,8359
United States of America,Medium,Carretera,910793.54,169543.53999999998,6732.5
United States of America,Medium,Montana,803169.24,11300.239999999998,10429
United States of America,Medium,Paseo,1723932.27,181687.26999999996,25568
United States of America,Medium,Velo,1119338.65,120548.65000000001,13852
United States of America,Medium,VTT,1287222.67,203189.67,12070
Canada,High,Amarilla,1444328.95,207084.45,16252.5
Canada,High,Carretera,1039459.46,64258.46000000001,13321
Canada,High,Montana,801257.2999999999,119007.3,9098.5
Canada,High,Paseo,2741974.6700000004,396195.6699999999,32251.5
Canada,High,Velo,1102786.24,108416.23999999999,7009
Canada,High,VTT,1527431.04,16299.04,16928.5
Canada,Low,Amarilla,1160712,219432,3694
Canada,Low,Carretera,1147437.29,283308.29,10924.5
Canada,Low,Montana,60165.42,17090.42,6648
Canada,Low,Paseo,2456023.2700000005,382373.26999999996,21481
Canada,Low,Velo,497812.96,70547.95999999999,11520.5
Canada,Low,VTT,1215748.43,167828.43,6872.5
Canada,Medium,Amarilla,1250724.925,220344.92500000002,9285.5
Canada,Medium,Carretera,390937.58999999997,72353.59,8940
Canada,Medium,Montana,1443967.81,148054.81,10213.5
Canada,Medium,Paseo,1705097.05,276687.05000000005,15955
Canada,Medium,Velo,1685766.1400000001,189879.14,13589.5
Canada,Medium,VTT,1388934.8399999999,186461.34,13629.5
France,High,Amarilla,1127490.17,59493.67,17043.5
France,High,Carretera,1275224.29,46615.28999999999,11629.5
France,High,Montana,810911.86,48976.86,5324
France,High,Paseo,1506131.11,205066.61000000002,22346.5
France,High,Velo,647413.725,86228.725,12973.5
France,High,VTT,498663.57999999996,89601.57999999999,10840.5
France,Low,Amarilla,23210.449999999997,10590.449999999999,1262
France,Low,Carretera,1307678.055,219420.05500000002,11214.5
France,Low,Montana,209105.05,32487.049999999996,5107.5
France,Low,Paseo,2493695.79,403162.79000000004,24842.5
France,Low,Velo,824814.27,213794.27,7735
France,Low,VTT,1054659.57,182321.57,5574
France,Medium,Amarilla,1865246.51,331293.51,8648.5
France,Medium,Carretera,807749.55,111939.55,9034
France,Medium,Montana,2469385.46,360784.46,18951.5
France,Medium,Paseo,1589689.1600000001,227774.16,23868
France,Medium,Velo,2280368.24,398887.24,14097
France,Medium,VTT,1045450.4400000001,188577.93999999997,13504
Germany,High,Amarilla,403425.21,9177.21,7981
Germany,High,Carretera,1435414.1,43554.09999999999,9690
Germany,High,Montana,652765.6,111945.6,4957
Germany,High,Paseo,973880.32,105491.31999999999,14704
Germany,High,Velo,715723.68,43023.68,8778
Germany,High,VTT,697585.45,111765.45000000001,5900
Germany,Low,Amarilla,2013046,408196,7408
Germany,Low,Carretera,904615.0800000001,145517.08000000002,6270
Germany,Low,Montana,1947668.8199999998,295938.82,9341
Germany,Low,Paseo,1756117.28,183424.28,12169.5
Germany,Low,Velo,2103251.5,486991.5,6652
Germany,Low,VTT,1591909.4,327287.39999999997,10334
Germany,Medium,Amarilla,1004539.55,170294.55,9320
Germany,Medium,Carretera,153021.5,26783.5,5262
Germany,Medium,Montana,918232.9500000001,128751.95000000001,9151
Germany,Medium,Paseo,1613763.1400000001,225488.13999999996,25934
Germany,Medium,Velo,1177359.8199999998,134879.82,10908
Germany,Medium,VTT,957112.92,136897.92,11171
Mexico,High,Amarilla,502833.84,66438.84,12669
Mexico,High,Carretera,1081180.68,14010.680000000008,11949
Mexico,High,Montana,305296.21,70156.21,15453
Mexico,High,Paseo,3238792.29,362344.29,22687
Mexico,High,Velo,1426391.9100000001,113859.90999999999,8993
Mexico,High,VTT,275198.76,23528.760000000002,7109
Mexico,Low,Amarilla,1079214,190184,4040
Mexico,Low,Carretera,1050043.5,248723.5,3101
Mexico,Low,Montana,410148.7,29868.700000000004,7733
Mexico,Low,Paseo,781759.99,42097.99,12157
Mexico,Low,Velo,288681.4,20779.4,4135
Mexico,Low,VTT,1978856.34,460488.33999999997,9565
Mexico,Medium,Amarilla,1495507.5499999998,241988.55000000002,11687
Mexico,Medium,Carretera,711327.24,118584.24,9704
Mexico,Medium,Montana,901434.4,177414.4,5140
Mexico,Medium,Paseo,3312908.1100000003,465813.11000000004,23321
Mexico,Medium,Velo,525213.58,35678.579999999994,11919
Mexico,Medium,VTT,918341.61,91581.61,9455
