Opportunities.Opportunity Owner Name,Opportunities.Budget,Opportunities.Campaign Name,Opportunities.Close %
Molly Clark,125,,1
Molly Clark,125,Market Trends Newsletter,1
Molly Clark,125,Twitter,1
Molly Clark,250,,1
Molly Clark,250,Market Trends Newsletter,1
Molly Clark,250,New Product Releases,1
Molly Clark,250,Twitter,1
Molly Clark,375,,1
Molly Clark,375,Market Trends Newsletter,1
Molly Clark,375,Twitter,1
Molly Clark,500,,1
Molly Clark,500,Market Trends Newsletter,1
Molly Clark,500,New Product Releases,1
Molly Clark,500,Twitter,1
Molly Clark,5000,,1
Molly Clark,5000,Consumer Tradeshow,1
Molly Clark,5000,New Product Releases,1
Molly Clark,5125,,1
Molly Clark,5125,Twitter,1
Molly Clark,5250,,1
Molly Clark,5250,Consumer Tradeshow,1
Molly Clark,5250,New Product Releases,1
Molly Clark,5250,Twitter,1
Molly Clark,5375,,1
Molly Clark,5375,Consumer Tradeshow,1
Molly Clark,5375,New Product Releases,1
Molly Clark,5500,,1
Molly Clark,5500,Consumer Tradeshow,1
Molly Clark,5500,Market Trends Newsletter,1
Molly Clark,5625,,1
Molly Clark,5625,Consumer Tradeshow,1
Molly Clark,5750,,1
Molly Clark,5750,Consumer Tradeshow,1
Molly Clark,5750,New Product Releases,1
Molly Clark,5875,,1
Molly Clark,5875,Consumer Tradeshow,1
Molly Clark,5875,Customer Care Campaign,1
Molly Clark,5875,New Product Releases,1
Molly Clark,6000,,1
Molly Clark,6000,Consumer Tradeshow,1
Molly Clark,6000,New Product Releases,1
Molly Clark,6125,,1
Molly Clark,6125,New Product Releases,1
Molly Clark,4625,,0.9682539682539683
Molly Clark,4625,Consumer Tradeshow,1
Molly Clark,4625,Customer Follow-up,1
Molly Clark,4625,Monthly Newsletter,1
Molly Clark,4625,New Product Releases,1
Molly Clark,4625,Twitter,1
Molly Clark,4750,,0.9622641509433962
Molly Clark,4750,Consumer Tradeshow,1
Molly Clark,4750,Customer Follow-up,1
Molly Clark,4750,Monthly Newsletter,1
Molly Clark,4750,New Product Releases,1
Molly Clark,3375,,0.958904109589041
Molly Clark,3375,Consumer Tradeshow,1
Molly Clark,3375,Customer Care Campaign,1
Molly Clark,3375,Customer Follow-up,1
Molly Clark,3375,Market Trends Newsletter,1
Molly Clark,3375,Monthly Newsletter,1
Molly Clark,3375,New Product Releases,1
Molly Clark,3375,Twitter,1
Molly Clark,4375,,0.9552238805970149
Molly Clark,4375,Consumer Tradeshow,1
Molly Clark,4375,Customer Care Campaign,1
Molly Clark,4375,Customer Follow-up,1
Molly Clark,4375,Monthly Newsletter,1
Molly Clark,4375,New Product Releases,1
Molly Clark,4875,,0.9393939393939394
Molly Clark,4875,Consumer Tradeshow,1
Molly Clark,4875,Customer Care Campaign,1
Molly Clark,4875,Customer Follow-up,1
Molly Clark,4875,Monthly Newsletter,1
Molly Clark,4875,New Product Releases,1
Molly Clark,4125,,0.9397590361445783
Molly Clark,4125,Consumer Tradeshow,1
Molly Clark,4125,Customer Care Campaign,1
Molly Clark,4125,Customer Follow-up,1
Molly Clark,4125,Monthly Newsletter,1
Molly Clark,4125,New Product Releases,1
Molly Clark,1000,,0.92
Molly Clark,1000,Consumer Tradeshow,1
Molly Clark,1000,Market Trends Newsletter,1
Molly Clark,1000,New Product Releases,1
Molly Clark,1000,Twitter,1
Molly Clark,3875,,0.9315068493150684
Molly Clark,3875,Consumer Tradeshow,1
Molly Clark,3875,Customer Care Campaign,1
Molly Clark,3875,Customer Follow-up,1
Molly Clark,3875,Monthly Newsletter,1
Molly Clark,3875,New Product Releases,1
Molly Clark,750,,0.9285714285714286
Molly Clark,750,Market Trends Newsletter,1
Molly Clark,750,New Product Releases,1
Molly Clark,750,Twitter,1
Molly Clark,3125,,0.9333333333333333
Molly Clark,3125,Consumer Tradeshow,1
Molly Clark,3125,Customer Care Campaign,1
Molly Clark,3125,Customer Follow-up,1
Molly Clark,3125,Market Trends Newsletter,0.75
Molly Clark,3125,Monthly Newsletter,1
Molly Clark,3125,New Product Releases,1
Molly Clark,3125,Twitter,1
Molly Clark,1875,,0.9230769230769231
Molly Clark,1875,Consumer Tradeshow,1
Molly Clark,4500,,0.9206349206349206
Molly Clark,4500,Consumer Tradeshow,1
Molly Clark,4500,Customer Follow-up,1
Molly Clark,4500,Monthly Newsletter,1
Molly Clark,4500,New Product Releases,1
Molly Clark,4500,Twitter,1
Molly Clark,2750,,0.9333333333333333
Molly Clark,2750,Consumer Tradeshow,1
Molly Clark,2750,Customer Care Campaign,1
Molly Clark,2750,Market Trends Newsletter,1
Molly Clark,2750,New Product Releases,1
Molly Clark,4000,,0.9230769230769231
Molly Clark,4000,Consumer Tradeshow,1
Molly Clark,4000,Customer Care Campaign,1
Molly Clark,4000,Customer Follow-up,1
Molly Clark,4000,Monthly Newsletter,0.875
